,maille_safran,maille_drias,latitude,longitude,altitude,departement,region_avant_2016,region2016,nature,clc_211,clc_221,clc_222,clc_231,clc_241,clc_242,clc_311,clc_312,clc_313,rupro,rupromin,rupromax,pro,hpf,hcc,hsat
6748,7906,5609,44.3042439471256,-1.22088350428151,24,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,0.5,0.0,0.0,0.0,0.0,1.88,0.0,56.62,5.95,121.31,126.7,183.9,78.0,3.95,18.06,33.94
6749,7907,5610,44.3074538394455,-1.12080521445364,30,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,4.74,0.0,0.0,0.0,0.0,0.11,3.31,51.97,1.75,126.18,113.83,183.9,82.0,3.89,17.76,33.41
6750,7908,5611,44.3105726018665,-1.02071554016627,45,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,8.19,0.0,0.0,0.0,0.0,0.57,5.93,53.35,0.0,131.74,113.83,183.9,84.0,4.48,20.32,38.01
6751,7909,5612,44.3136000231849,-0.920614784190859,60,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,16.16,0.0,0.0,0.0,0.0,4.17,2.24,32.3,0.71,114.64,113.83,113.83,72.0,4.57,20.59,38.16
6752,7910,5613,44.3165356909668,-0.820503307031729,61,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,24.5,0.0,0.0,0.0,0.0,0.47,0.0,32.11,2.92,140.26,113.83,183.9,89.0,4.43,20.19,37.93
6753,7911,5614,44.319379501686,-0.720381542085301,58,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,21.43,0.0,0.0,0.0,0.0,0.14,1.59,50.8,6.65,152.27,113.83,183.9,98.0,4.36,20.0,37.82
6754,7912,5615,44.3221315696562,-0.620249914497606,69,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,6.71,0.0,0.0,0.0,0.0,1.11,0.94,47.9,8.11,163.42,113.83,183.9,106.0,4.3,19.82,37.72
6755,7913,5616,44.3247919375485,-0.520108773031047,82,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,22.09,0.0,0.0,0.0,0.0,0.16,0.0,57.88,6.57,149.14,113.83,183.9,96.0,4.38,20.05,37.85
6830,7991,5466,44.2323818230853,-1.21635647461258,16,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,0.0,0.0,0.0,0.0,0.0,1.18,7.03,57.03,3.55,150.79,126.7,183.9,97.0,4.34,19.96,37.8
6831,7992,5467,44.2355874820105,-1.11640512705419,31,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,0.0,0.0,0.0,0.0,0.0,1.13,10.81,53.56,0.0,167.32,113.83,183.9,108.0,4.27,19.76,37.68
6832,7993,5468,44.2387022297936,-1.01644241385937,53,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,6.8,0.0,0.0,0.0,0.0,1.55,3.62,39.22,0.1,143.2,113.83,183.9,92.0,4.41,20.14,37.9
6833,7994,5469,44.2417258062493,-0.916468651187017,69,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,21.43,0.0,0.0,0.0,0.0,2.53,1.68,19.31,1.73,113.83,113.83,113.83,71.0,4.58,20.61,38.17
6834,7995,5470,44.2446576487232,-0.816484179108315,67,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,19.28,0.0,0.0,0.0,0.0,1.94,0.69,28.25,7.2,145.53,113.83,183.9,93.0,4.4,20.11,37.88
6835,7996,5471,44.2474977077895,-0.716489448172753,72,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,11.85,0.0,0.0,0.0,0.0,2.13,0.0,28.08,0.59,129.1,113.83,183.9,82.0,4.49,20.37,38.03
6836,7997,5472,44.2502461745913,-0.61648495360094,87,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,9.26,0.0,0.0,0.0,0.0,0.0,0.0,23.63,1.9,124.77,113.83,183.9,79.0,4.52,20.43,38.07
6837,7998,5473,44.2529030233163,-0.516471093880655,90,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,1.3,0.0,0.0,0.0,0.0,0.52,1.6,41.28,7.83,183.9,183.9,183.9,120.0,4.18,19.5,37.53
6838,7999,5474,44.2554683017425,-0.41644816121215,105,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,0.96,0.0,0.0,0.42,0.0,0.0,0.03,20.6,1.97,128.05,113.83,183.9,81.0,4.5,20.38,38.04
6915,8082,5323,44.1605227521162,-1.21184092704486,33,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,5.0,0.0,0.0,0.0,0.0,3.28,1.82,49.13,3.53,140.79,113.83,183.9,89.0,4.65,20.46,37.98
6916,8083,5324,44.1637242251474,-1.11201621112501,42,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,5.14,0.0,0.0,0.0,0.0,1.08,1.58,48.12,0.14,154.46,113.83,183.9,99.0,4.35,19.97,37.8
6917,8084,5325,44.166834836806,-1.01218016146997,61,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,6.84,0.0,0.0,0.0,0.0,0.48,2.2,45.68,2.26,121.15,113.83,183.9,76.0,4.54,20.49,38.1
6918,8085,5326,44.1698543324931,-0.912333104079012,78,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,13.87,0.0,0.0,0.0,0.0,0.56,0.0,19.33,0.8,113.83,113.83,113.83,71.0,4.58,20.61,38.17
6919,8086,5327,44.1727822775614,-0.812475312637034,74,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,9.02,0.0,0.0,0.0,0.0,0.51,1.04,32.68,4.04,166.02,113.83,183.9,108.0,4.28,19.78,37.69
6920,8087,5328,44.1756186730494,-0.712607283869646,81,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,4.13,0.0,0.0,0.0,0.0,2.6,0.0,27.1,3.57,135.37,113.83,183.9,86.0,4.45,20.27,37.97
6921,8088,5329,44.1783636284185,-0.612729601608995,103,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,15.05,0.0,0.0,0.0,0.0,0.16,0.0,16.42,0.5,119.18,113.83,113.83,75.0,4.55,20.52,38.12
6922,8089,5330,44.1810170363029,-0.512842692814681,111,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,19.55,0.0,0.0,0.0,0.0,0.0,0.0,26.27,0.0,120.65,113.83,113.83,76.0,4.54,20.5,38.11
6923,8090,5331,44.1835788714863,-0.412946866291044,116,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,20.1,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.42,113.92,113.83,113.83,71.0,4.58,20.6,38.17
6924,8091,5332,44.1860495109363,-0.313042256411199,126,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,15.16,0.0,0.0,0.0,0.0,0.0,1.37,33.34,0.0,113.83,113.83,113.83,71.0,4.58,20.61,38.17
6925,8092,5333,44.1884292597683,-0.213128991597099,132,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,19.28,0.0,0.0,0.0,0.0,0.22,0.0,57.75,1.3,117.04,113.83,113.83,73.0,4.6,20.61,38.15
7004,8172,5179,44.085378566373,-1.30702352912051,19,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Limite côtière,2.17,0.0,0.0,0.0,0.0,0.5,5.84,48.26,0.74,133.49,126.7,143.66,82.0,5.75,21.92,38.33
7005,8173,5180,44.0886668306401,-1.2073368138206,30,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,2.93,0.0,0.0,0.42,0.0,1.43,3.98,51.88,0.99,142.3,143.66,143.66,84.0,7.55,24.17,38.82
7006,8174,5181,44.0918641653887,-1.10763845752365,50,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,4.58,0.0,0.0,0.0,0.0,0.0,0.0,57.46,3.78,137.1,113.83,143.66,82.0,7.01,23.52,38.7
7007,8175,5182,44.0949705350722,-1.00792879510842,72,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,21.91,0.0,0.0,0.0,0.0,0.47,0.0,41.93,0.0,114.25,113.83,113.83,71.0,4.62,20.66,38.18
7008,8176,5183,44.0979857671975,-0.908208112921167,82,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,46.28,0.0,0.0,0.0,0.0,0.0,0.0,15.11,0.45,113.83,113.83,113.83,71.0,4.58,20.61,38.17
7009,8177,5184,44.1009097801651,-0.808476650061457,80,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,20.37,0.0,0.0,0.0,0.0,0.0,0.0,17.02,1.07,136.0,113.83,183.9,87.0,4.45,20.26,37.97
7010,8178,5185,44.103742573068,-0.70873501328128,86,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,17.18,0.0,0.0,0.0,0.0,4.3,0.0,14.87,3.31,114.75,113.83,113.83,71.0,4.67,20.72,38.19
7011,8179,5186,44.1064840517934,-0.608983840275774,95,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,22.45,0.0,0.0,0.0,0.0,1.1,0.0,9.59,1.96,117.6,113.83,113.83,73.0,4.94,21.06,38.25
7012,8180,5187,44.1091340772073,-0.50922355366949,100,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,4.09,0.0,0.0,0.0,0.0,3.97,0.0,15.05,6.25,131.32,113.83,143.66,79.0,6.39,22.79,38.57
7013,8181,5188,44.1116926071381,-0.409454494748474,108,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,1.53,0.0,0.0,0.0,0.0,3.28,2.55,36.89,4.77,148.88,113.83,228.66,87.0,7.98,24.83,38.94
7014,8182,5189,44.114159993952,-0.30967668002195,106,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,7.47,0.0,0.0,0.0,0.0,2.35,0.0,51.09,5.08,125.21,113.83,143.66,76.0,5.74,22.01,38.43
7015,8183,5190,44.1165365544193,-0.209890070601952,116,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,8.19,0.0,0.0,0.0,0.0,2.48,0.0,47.76,11.08,134.36,113.83,143.66,80.0,6.62,23.11,38.63
7016,8184,5191,44.1188218193911,-0.110095062225835,146,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,16.38,0.0,0.0,0.0,0.0,1.72,0.06,52.25,2.64,143.66,143.66,143.66,85.0,7.69,24.34,38.85
7017,8185,5192,44.1210154289252,-0.0102922386214665,144,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,19.49,0.0,0.0,0.0,0.0,0.65,0.0,44.93,6.27,143.66,143.66,143.66,85.0,7.69,24.34,38.85
7094,8263,5036,44.0135299641199,-1.30240475052205,22,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Limite côtière,0.0,0.0,0.0,0.0,0.0,0.24,2.48,66.61,0.0,133.31,126.7,143.66,82.0,5.72,21.87,38.32
7095,8264,5037,44.0168140253823,-1.20284409368034,31,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,0.0,0.0,0.0,0.0,0.0,1.9,1.06,51.37,3.18,143.66,143.66,143.66,85.0,7.69,24.34,38.85
7096,8265,5038,44.0200072020846,-1.10327185752069,60,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,0.0,0.0,0.0,0.0,0.0,0.61,0.0,58.17,1.09,141.03,143.66,143.66,84.0,7.42,24.01,38.79
7097,8266,5039,44.0231093379458,-1.00368831314208,75,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,7.72,0.0,0.0,0.0,0.0,0.49,0.0,42.1,0.0,133.05,113.83,143.66,80.0,6.58,23.01,38.61
7098,8267,5040,44.0261203770288,-0.904093634795124,73,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,7.92,0.0,0.0,0.0,0.0,1.88,0.0,19.61,3.22,123.95,113.83,143.66,76.0,5.63,21.87,38.4
7099,8268,5041,44.029040480682,-0.804488143667384,77,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,5.32,0.0,0.0,0.0,0.0,1.62,1.22,13.1,6.11,125.46,113.83,143.66,76.0,5.79,22.06,38.43
7100,8269,5042,44.0318696120053,-0.704872614860664,91,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,6.66,0.0,0.0,0.0,0.0,1.84,0.0,12.95,0.34,154.25,113.83,228.66,89.0,8.48,25.47,39.06
7101,8270,5043,44.0346075547473,-0.605247653564128,87,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,0.86,0.0,0.0,0.0,0.0,0.07,0.0,19.92,3.39,128.77,113.83,143.66,78.0,6.06,22.43,38.5
7102,8271,5044,44.0372541885224,-0.505613661385043,90,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,5.51,0.0,0.0,0.0,0.0,4.01,2.78,31.63,6.53,150.38,113.83,228.66,87.0,8.15,25.03,38.98
7103,8272,5045,44.0398094711338,-0.405971023623398,84,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,1.33,0.0,0.0,0.0,0.0,6.38,10.96,50.62,1.11,186.7,143.66,228.66,103.0,11.31,29.17,39.75
7104,8273,5046,44.0422736359462,-0.306319635694808,87,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,0.4,0.0,0.0,0.0,0.0,7.07,3.74,45.39,12.5,201.14,143.66,228.66,109.0,12.53,30.79,40.06
7105,8274,5047,44.0446469355269,-0.206659338221864,114,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,6.67,0.0,0.0,0.0,0.0,5.84,4.37,56.72,2.89,179.14,143.66,228.66,100.0,10.68,28.32,39.59
7106,8275,5048,44.0469291242535,-0.106990601607947,136,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,10.43,0.0,0.0,0.0,0.0,4.06,2.13,53.91,2.06,143.66,143.66,143.66,85.0,7.69,24.34,38.85
7107,8276,5049,44.04911993612,-0.007314104018973,145,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,9.25,0.0,0.0,0.05,0.0,1.05,4.84,51.05,7.21,143.66,143.66,143.66,85.0,7.69,24.34,38.85
7184,8355,4893,43.9416845428233,-1.29779758710588,34,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,0.4,0.0,0.0,0.0,0.0,2.77,0.0,74.6,0.0,138.47,126.7,143.66,83.0,6.7,23.1,38.58
7185,8356,4894,43.9449643814519,-1.19836268042953,53,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,4.22,0.0,0.0,0.0,0.0,0.17,0.0,60.94,0.46,143.66,143.66,143.66,85.0,7.69,24.34,38.85
7186,8357,4895,43.9481534063378,-1.09891625087386,74,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,1.74,0.0,0.0,0.0,0.0,0.0,0.0,42.35,0.0,143.66,143.66,143.66,85.0,7.69,24.34,38.85
7187,8358,4896,43.9512514242626,-0.999458459742584,88,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,12.89,0.0,0.0,0.0,0.0,2.39,0.0,22.06,0.0,143.66,143.66,143.66,85.0,7.69,24.34,38.85
7188,8359,4897,43.9542584402624,-0.89998945598989,80,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,9.12,0.0,0.0,0.0,0.0,1.41,0.0,11.31,3.33,143.66,143.66,143.66,85.0,7.69,24.34,38.85
7189,8360,4898,43.9571746606996,-0.800509733628359,63,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,15.56,0.0,0.0,0.0,0.0,4.29,10.09,7.0,4.64,143.66,143.66,143.66,85.0,7.69,24.34,38.85
7190,8361,4899,43.9600000067651,-0.70102010399193,65,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,14.49,0.0,0.0,0.0,0.0,0.43,0.47,14.61,0.0,153.37,143.66,228.66,89.0,8.51,25.43,39.05
7191,8362,4900,43.9627342466011,-0.601521073431723,63,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,11.53,0.0,0.0,0.0,0.0,1.59,1.48,26.37,3.59,155.46,113.83,228.66,89.0,8.5,25.55,39.08
7192,8363,4901,43.9653773683399,-0.502013017948567,71,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,6.14,0.0,0.0,0.0,0.0,3.92,3.6,35.29,3.11,163.6,143.66,228.66,93.0,9.36,26.57,39.27
7193,8364,4902,43.9679294102247,-0.40249632926059,81,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,3.91,0.0,0.0,0.0,0.0,9.13,13.39,40.13,3.71,166.98,143.66,228.66,95.0,9.65,26.96,39.34
7194,8365,4903,43.9703904109791,-0.302970909357266,108,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,11.95,0.0,0.0,0.64,0.0,9.73,5.92,33.08,9.86,143.66,143.66,143.66,85.0,7.69,24.34,38.85
7195,8366,4904,43.9727604718903,-0.203436629865089,110,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,37.63,0.0,0.0,0.0,0.0,8.93,11.96,14.25,13.31,156.61,143.66,228.66,90.0,9.9,26.94,39.68
7196,8367,4905,43.9750395188651,-0.103893981486516,136,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,31.12,0.51,0.0,0.0,0.0,16.12,14.95,11.64,10.01,160.32,110.76,228.66,92.0,17.71,34.88,43.51
7197,8368,4906,43.9772274170638,-0.0043435775579258,149,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,27.07,8.75,0.0,1.23,0.0,14.5,13.45,16.17,6.88,180.3,143.66,228.66,106.0,17.7,34.53,42.95
7273,8446,4750,43.86984236809,-1.29320195427512,19,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,3.19,0.0,0.0,0.0,0.0,2.5,2.98,53.15,3.79,132.27,126.7,143.66,80.0,6.62,22.18,36.51
7274,8447,4751,43.8731179293086,-1.19389244139643,46,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,3.6,0.0,0.0,0.0,0.0,0.0,0.79,65.83,2.54,143.66,143.66,143.66,85.0,7.69,24.34,38.85
7275,8448,4752,43.8763027826284,-1.09457142798286,72,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,5.59,0.0,0.0,0.0,0.0,0.46,0.0,53.83,0.0,143.66,143.66,143.66,85.0,7.69,24.34,38.85
7276,8449,4753,43.879396780335,-0.995239013117561,76,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,10.94,0.0,0.0,0.0,0.0,0.0,0.0,37.59,0.0,143.66,143.66,143.66,85.0,7.69,24.34,38.85
7277,8450,4754,43.8823999235791,-0.895895437877264,59,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,6.13,0.0,0.0,0.0,0.0,2.42,0.0,41.9,0.75,143.67,143.66,143.66,85.0,7.69,24.34,38.85
7278,8451,4755,43.8853123119138,-0.796541323168797,47,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,19.8,0.0,0.0,0.0,0.0,2.78,0.17,24.17,1.75,163.0,143.66,228.66,93.0,9.32,26.51,39.25
7279,8452,4756,43.8881338481419,-0.69717737736666,40,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,26.69,0.0,0.0,0.0,0.0,3.84,3.59,10.99,2.95,167.63,143.66,228.66,95.0,9.71,27.03,39.35
7280,8453,4757,43.8908643530724,-0.597803994340324,51,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,23.66,0.0,0.0,0.0,0.0,1.02,6.74,8.77,4.77,167.88,143.66,228.66,95.0,9.75,27.08,39.37
7281,8454,4758,43.8935039002438,-0.498421490255684,57,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,5.47,0.0,0.0,0.0,0.0,5.04,5.05,17.13,6.33,184.07,143.66,228.66,103.0,12.0,29.66,40.13
7282,8455,4759,43.8960526270639,-0.399030251022668,71,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,21.95,0.0,0.0,0.0,0.0,9.47,6.06,23.64,11.33,172.81,143.66,228.66,100.0,13.29,30.31,40.96
7283,8456,4760,43.8985104440369,-0.299630362434436,79,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,46.08,0.0,0.0,0.0,0.0,1.97,13.25,8.45,17.54,177.41,143.66,228.66,104.0,15.01,31.98,41.7
7362,8536,4606,43.7946417507931,-1.38779064233011,12,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Limite côtière,1.69,0.0,0.0,0.57,0.0,4.13,0.0,40.33,1.89,124.28,126.7,126.7,78.0,4.59,20.02,36.92
7363,8537,4607,43.7980035284503,-1.28861780266914,26,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,11.13,0.0,0.0,0.0,0.0,5.71,0.0,51.88,2.86,135.45,143.66,143.66,81.0,7.18,22.91,36.74
7364,8538,4608,43.8012747638393,-1.18943332212644,52,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,7.3,0.0,0.0,0.0,0.0,3.7,0.0,64.02,1.18,143.66,143.66,143.66,85.0,7.69,24.34,38.85
7365,8539,4609,43.8044554031095,-1.09023736708673,71,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,13.02,0.0,0.0,0.0,0.0,1.31,0.0,48.71,0.0,150.04,143.66,143.66,88.0,8.23,25.06,38.98
7366,8540,4610,43.8075453709077,-0.991030038350681,59,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,9.74,0.0,0.0,0.0,0.0,0.61,0.17,45.3,0.0,150.3,143.66,143.66,88.0,8.25,25.08,38.99
7367,8541,4611,43.8105446596213,-0.891811646479466,30,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,30.21,0.0,0.0,0.0,0.0,4.89,5.51,20.3,5.19,198.42,143.66,228.66,108.0,12.82,30.96,40.09
7368,8542,4612,43.8134532584508,-0.792582844637172,38,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,47.14,0.0,0.0,0.0,0.0,1.14,4.85,7.35,6.79,193.51,143.66,228.66,111.0,16.83,34.18,42.23
7369,8543,4613,43.8162710815367,-0.693344267543473,68,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,53.0,0.0,0.0,0.0,0.0,0.0,0.0,7.62,4.07,173.5,143.66,192.05,104.0,16.61,33.19,42.53
7370,8544,4614,43.8189980117494,-0.594096211807855,75,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,47.68,0.0,0.0,0.0,0.0,3.29,2.39,6.46,6.97,191.0,192.05,192.05,114.0,20.32,37.08,43.97
7371,8545,4615,43.8216340736994,-0.49483889011216,78,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,41.82,0.0,0.0,0.0,0.0,10.57,4.88,7.81,4.15,195.12,192.05,192.05,116.0,21.75,38.47,44.57
7372,8546,4616,43.8241793887376,-0.39557273056057,91,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,48.42,0.0,0.0,1.04,0.0,5.76,0.39,9.51,8.2,193.34,192.05,192.05,116.0,22.11,38.71,44.78
7373,8547,4617,43.8266338996233,-0.296298064013526,95,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,63.3,0.98,0.0,0.0,0.0,1.42,8.39,1.92,9.32,192.05,192.05,192.05,116.0,22.38,38.89,44.93
7451,8626,4463,43.722810781813,-1.38309330478141,14,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Limite côtière,8.05,0.0,0.0,0.0,0.0,1.79,0.0,58.07,0.41,133.84,126.7,143.66,82.0,5.94,22.06,38.17
7452,8627,4464,43.726168137663,-1.28404511597579,35,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,13.55,0.0,0.0,0.0,0.0,3.43,0.0,58.24,0.58,143.66,143.66,143.66,85.0,7.69,24.34,38.85
7453,8628,4465,43.7294350280478,-1.18498533714154,46,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,8.61,0.0,0.0,0.0,0.0,1.29,0.05,65.75,0.71,144.96,143.66,143.66,86.0,7.8,24.49,38.87
7454,8629,4466,43.7326114369351,-1.08591415944308,27,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,12.33,0.0,0.0,0.85,0.0,4.17,8.06,29.39,3.55,195.12,143.66,228.66,107.0,12.56,30.61,40.03
7455,8630,4467,43.7356973456043,-0.98683166350732,16,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,40.91,0.0,0.0,2.95,0.0,4.86,22.06,4.06,2.41,205.54,202.6,228.66,112.0,14.19,32.47,40.38
7456,8631,4468,43.7386927271644,-0.887738135722881,35,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,49.61,0.0,0.0,0.0,0.0,10.82,5.57,5.24,12.07,205.51,202.6,228.66,113.0,14.92,33.12,40.51
7457,8632,4469,43.741597520081,-0.78863426423017,46,40 - Landes,Aquitaine,Nouvelle-Aquitaine,Territoire,57.9,0.0,0.0,1.38,0.0,10.08,11.29,0.69,8.06,207.92,202.6,228.66,114.0,14.91,33.2,40.52
