Point,Latitude,Longitude,Contexte,Période,Saison,NORNSV23,NORNSV24,NORNSV25,NORIFM20,NORIFM40,NORIFM60,NORIS400,NORIS700,NORIS1000
4324,43.6639,-0.9826,RCP4.5,H1,3,16,3,0,15,1,0,22,1,0
4324,43.6639,-0.9826,RCP4.5,H1,4,8,1,-999,3,0,0,23,1,-999
4325,43.6669,-0.8837,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4325,43.6669,-0.8837,RCP4.5,H1,3,15,3,0,15,1,0,21,1,0
4325,43.6669,-0.8837,RCP4.5,H1,4,7,1,-999,3,0,0,22,1,-999
4326,43.6698,-0.7847,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4326,43.6698,-0.7847,RCP4.5,H1,3,15,3,0,15,1,0,20,1,0
4326,43.6698,-0.7847,RCP4.5,H1,4,6,1,-999,2,0,0,20,1,-999
4327,43.6726,-0.6857,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4327,43.6726,-0.6857,RCP4.5,H1,3,15,3,0,14,1,0,27,2,0
4327,43.6726,-0.6857,RCP4.5,H1,4,5,1,-999,2,0,0,35,1,-999
4328,43.6753,-0.5867,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4328,43.6753,-0.5867,RCP4.5,H1,3,17,4,0,14,1,0,25,1,0
4328,43.6753,-0.5867,RCP4.5,H1,4,10,2,-999,3,0,0,30,1,-999
4329,43.6779,-0.4877,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4329,43.6779,-0.4877,RCP4.5,H1,3,16,3,0,14,1,0,25,1,0
4329,43.6779,-0.4877,RCP4.5,H1,4,8,1,-999,2,0,0,30,1,-999
4330,43.6805,-0.3887,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4330,43.6805,-0.3887,RCP4.5,H1,3,16,3,0,14,1,0,21,0,0
4330,43.6805,-0.3887,RCP4.5,H1,4,8,1,-999,2,0,0,25,0,-999
4331,43.6829,-0.2896,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4331,43.6829,-0.2896,RCP4.5,H1,3,16,3,0,13,1,0,21,0,0
4331,43.6829,-0.2896,RCP4.5,H1,4,6,1,-999,2,0,0,24,0,-999
4463,43.7228,-1.3831,RCP4.5,H1,2,3,0,-999,6,0,0,0,0,-999
4463,43.7228,-1.3831,RCP4.5,H1,3,25,20,9,43,6,0,23,1,0
4463,43.7228,-1.3831,RCP4.5,H1,4,18,10,-999,12,1,0,18,2,-999
4464,43.7262,-1.284,RCP4.5,H1,2,0,0,-999,1,0,0,0,0,-999
4464,43.7262,-1.284,RCP4.5,H1,3,16,3,0,10,0,0,24,1,0
4464,43.7262,-1.284,RCP4.5,H1,4,7,1,-999,3,0,0,18,2,-999
4465,43.7295,-1.185,RCP4.5,H1,2,0,0,-999,1,0,0,0,0,-999
4465,43.7295,-1.185,RCP4.5,H1,3,16,3,0,10,0,0,21,1,0
4465,43.7295,-1.185,RCP4.5,H1,4,7,1,-999,2,0,0,20,1,-999
4466,43.7326,-1.0859,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4466,43.7326,-1.0859,RCP4.5,H1,3,16,3,0,14,1,0,23,1,0
4466,43.7326,-1.0859,RCP4.5,H1,4,7,1,-999,3,0,0,21,1,-999
4467,43.7357,-0.9868,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4467,43.7357,-0.9868,RCP4.5,H1,3,16,3,0,15,1,0,23,1,0
4467,43.7357,-0.9868,RCP4.5,H1,4,8,1,-999,3,0,0,23,1,-999
4468,43.7387,-0.8877,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4468,43.7387,-0.8877,RCP4.5,H1,3,16,3,0,15,1,0,31,2,0
4468,43.7387,-0.8877,RCP4.5,H1,4,7,1,-999,3,0,0,41,2,-999
4469,43.7416,-0.7886,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
4469,43.7416,-0.7886,RCP4.5,H1,4,15,2,-999,4,0,0,40,2,-999
4470,43.7444,-0.6895,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
4470,43.7444,-0.6895,RCP4.5,H1,3,21,4,0,21,1,0,28,2,0
4470,43.7444,-0.6895,RCP4.5,H1,4,14,2,-999,4,0,0,35,2,-999
